report_id,report_key,filer_name,filing_date,filing_format,report_url,status,transactions_found,error,checked_at_utc
5f219f13-10ce-46c2-a637-99c206a39eaf,5f219f13-10ce-46c2-a637-99c206a39eaf,Rick Scott,2021-06-24,electronic_html,https://efdsearch.senate.gov/search/view/ptr/5f219f13-10ce-46c2-a637-99c206a39eaf/,ok_reused,4,,2026-09-10T17:05:26Z
4716d538-d7d0-4146-8ed3-d619366db4da,4716d538-d7d0-4146-8ed3-d619366db4da,JOHN BOOZMAN,2021-06-10,paper_scan,https://efdsearch.senate.gov/search/view/paper/4716d538-d7d0-4146-8ed3-d619366db4da/,paper_deferred,0,Paper filing intentionally deferred to a future project.,2026-09-10T17:05:26Z
925ab727-eecf-4403-9a40-ee76f3ef0f03,925ab727-eecf-4403-9a40-ee76f3ef0f03,Shelley M Capito,2021-06-08,electronic_html,https://efdsearch.senate.gov/search/view/ptr/925ab727-eecf-4403-9a40-ee76f3ef0f03/,ok_reused,2,,2026-09-10T17:05:26Z
32274587-17b3-4a09-ade9-99b7dc0436ba,32274587-17b3-4a09-ade9-99b7dc0436ba,"William F Hagerty, IV",2021-06-08,electronic_html,https://efdsearch.senate.gov/search/view/ptr/32274587-17b3-4a09-ade9-99b7dc0436ba/,ok_reused,1,,2026-09-10T17:05:26Z
18c33f81-90a3-4bc3-a8d9-a7cc62898c64,18c33f81-90a3-4bc3-a8d9-a7cc62898c64,"A. Mitchell McConnell, Jr.",2021-06-07,electronic_html,https://efdsearch.senate.gov/search/view/ptr/18c33f81-90a3-4bc3-a8d9-a7cc62898c64/,ok_reused,1,,2026-09-10T17:05:26Z
2c09f31e-0a1f-4905-9a71-7750a856111d,2c09f31e-0a1f-4905-9a71-7750a856111d,Sheldon Whitehouse,2021-06-06,electronic_html,https://efdsearch.senate.gov/search/view/ptr/2c09f31e-0a1f-4905-9a71-7750a856111d/,ok_reused,2,,2026-09-10T17:05:26Z
8fc9bf25-8952-42b4-a7c9-ed80f599b450,8fc9bf25-8952-42b4-a7c9-ed80f599b450,John W Hickenlooper,2021-06-03,electronic_html,https://efdsearch.senate.gov/search/view/ptr/8fc9bf25-8952-42b4-a7c9-ed80f599b450/,ok_reused,4,,2026-09-10T17:05:26Z
31ba15f9-3190-4872-8094-7044810a33c8,31ba15f9-3190-4872-8094-7044810a33c8,Mike Rounds,2021-05-20,electronic_html,https://efdsearch.senate.gov/search/view/ptr/31ba15f9-3190-4872-8094-7044810a33c8/,ok_reused,1,,2026-09-10T17:05:26Z
534becb6-71f8-418b-963b-a0a33b3a5be8,534becb6-71f8-418b-963b-a0a33b3a5be8,"Jerry Moran,",2021-05-19,electronic_html,https://efdsearch.senate.gov/search/view/ptr/534becb6-71f8-418b-963b-a0a33b3a5be8/,ok_reused,4,,2026-09-10T17:05:26Z
5d96ee20-55b8-4258-b059-7f5c91683748,5d96ee20-55b8-4258-b059-7f5c91683748,"Jerry Moran,",2021-05-19,electronic_html,https://efdsearch.senate.gov/search/view/ptr/5d96ee20-55b8-4258-b059-7f5c91683748/,ok_reused,4,,2026-09-10T17:05:26Z
