first_name,last_name,filer_name,office,filing_date,report_title,report_id,report_key,filing_format,report_url
JOHN,BOOZMAN,JOHN BOOZMAN,Senator,2023-07-12,Periodic Transaction Report for 07/12/2023,ab1c52c9-9881-4142-81a1-4081210c40a0,ab1c52c9-9881-4142-81a1-4081210c40a0,paper_scan,https://efdsearch.senate.gov/search/view/paper/ab1c52c9-9881-4142-81a1-4081210c40a0/
RICHARD,BLUMENTHAL,RICHARD BLUMENTHAL,Senator,2023-07-11,Periodic Transaction Report for 07/11/2023,45b4a191-b18e-4a4b-89cd-d92bc5edd777,45b4a191-b18e-4a4b-89cd-d92bc5edd777,paper_scan,https://efdsearch.senate.gov/search/view/paper/45b4a191-b18e-4a4b-89cd-d92bc5edd777/
Gary C,Peters,Gary C Peters,"Peters, Gary (Senator)",2023-06-30,Periodic Transaction Report for 06/30/2023,f1af8e74-b65e-4886-9361-bc13bd413bc8,f1af8e74-b65e-4886-9361-bc13bd413bc8,electronic_html,https://efdsearch.senate.gov/search/view/ptr/f1af8e74-b65e-4886-9361-bc13bd413bc8/
Angus S,"King, Jr.","Angus S King, Jr.","King, Angus (Senator)",2023-06-20,Periodic Transaction Report for 06/20/2023,0165d493-3c0e-4404-a4f0-dd99c1f95160,0165d493-3c0e-4404-a4f0-dd99c1f95160,electronic_html,https://efdsearch.senate.gov/search/view/ptr/0165d493-3c0e-4404-a4f0-dd99c1f95160/
John W,Hickenlooper,John W Hickenlooper,"Hickenlooper, John (Senator)",2023-06-15,Periodic Transaction Report for 06/15/2023,fca2d837-22ec-457d-914a-45debad43294,fca2d837-22ec-457d-914a-45debad43294,electronic_html,https://efdsearch.senate.gov/search/view/ptr/fca2d837-22ec-457d-914a-45debad43294/
Thomas H,Tuberville,Thomas H Tuberville,"Tuberville, Tommy (Senator)",2023-06-15,Periodic Transaction Report for 06/15/2023,da5e8124-07be-4e4a-8bb8-82dc7331e90c,da5e8124-07be-4e4a-8bb8-82dc7331e90c,electronic_html,https://efdsearch.senate.gov/search/view/ptr/da5e8124-07be-4e4a-8bb8-82dc7331e90c/
Shelley M,Capito,Shelley M Capito,"Capito, Shelley Moore (Senator)",2023-06-14,Periodic Transaction Report for 06/14/2023,024c859b-2886-4edf-90b0-4c9449ec2648,024c859b-2886-4edf-90b0-4c9449ec2648,electronic_html,https://efdsearch.senate.gov/search/view/ptr/024c859b-2886-4edf-90b0-4c9449ec2648/
A. Mitchell,"McConnell, Jr.","A. Mitchell McConnell, Jr.","McConnell, A. Mitchell Jr. (Senator)",2023-06-14,Periodic Transaction Report for 06/14/2023,6d943dc9-5d3f-467a-8a6b-133eb6440190,6d943dc9-5d3f-467a-8a6b-133eb6440190,electronic_html,https://efdsearch.senate.gov/search/view/ptr/6d943dc9-5d3f-467a-8a6b-133eb6440190/
RICHARD,BLUMENTHAL,RICHARD BLUMENTHAL,Senator,2023-06-14,Periodic Transaction Report for 06/14/2023,feaa20dd-677f-40a4-ba7d-e0d64a61b665,feaa20dd-677f-40a4-ba7d-e0d64a61b665,paper_scan,https://efdsearch.senate.gov/search/view/paper/feaa20dd-677f-40a4-ba7d-e0d64a61b665/
JOHN,BOOZMAN,JOHN BOOZMAN,Senator,2023-05-26,Periodic Transaction Report for 05/26/2023,7ec5049f-bfd4-4402-b516-1bdc2f50147f,7ec5049f-bfd4-4402-b516-1bdc2f50147f,paper_scan,https://efdsearch.senate.gov/search/view/paper/7ec5049f-bfd4-4402-b516-1bdc2f50147f/
Sheldon,Whitehouse,Sheldon Whitehouse,"Whitehouse, Sheldon (Senator)",2023-05-17,Periodic Transaction Report for 05/17/2023,9fc025a0-f893-47b2-9252-a2820737a409,9fc025a0-f893-47b2-9252-a2820737a409,electronic_html,https://efdsearch.senate.gov/search/view/ptr/9fc025a0-f893-47b2-9252-a2820737a409/
